Kab/kota,Provinsi,Kategori,Divaksin 1
Kab. Lampung Selatan,Lampung,SDM KESEHATAN,3
Kab. Lampung Selatan,Lampung,LANSIA,1
Kab. Lampung Selatan,Lampung,Menunggu Konfirmasi,109
Kab. Lampung Selatan,Lampung,Menunggu Konfirmasi,31
Kab. Lampung Selatan,Lampung,Menunggu Konfirmasi,15
Kab. Lampung Selatan,Lampung,Menunggu Konfirmasi,1
Kab. Lampung Selatan,Lampung,Menunggu Konfirmasi,0
Kab. Lampung Selatan,Lampung,POLRI,3
Kab. Lampung Selatan,Lampung,SDM KESEHATAN,19
Kab. Lampung Selatan,Lampung,MASYARAKAT UMUM,0
Kab. Lampung Selatan,Lampung,PELAYAN PUBLIK,107
Kab. Lampung Selatan,Lampung,PENDIDIK,29
Kab. Lampung Selatan,Lampung,PENDIDIK,45
Kab. Lampung Selatan,Lampung,PENDIDIK,26
Kab. Lampung Selatan,Lampung,PENDIDIK,2
Kab. Lampung Selatan,Lampung,PENDIDIK,14
Kab. Lampung Selatan,Lampung,PENDIDIK,1
Kab. Lampung Selatan,Lampung,PENDIDIK,96
Kab. Lampung Selatan,Lampung,TNI,1
Kab. Lampung Selatan,Lampung,REMAJA,1
Kab. Lampung Selatan,Lampung,SDM KESEHATAN,5
Kab. Lampung Selatan,Lampung,SDM KESEHATAN,11
Kab. Lampung Selatan,Lampung,PENDIDIK,223
Kab. Lampung Selatan,Lampung,PENDIDIK,151
Kab. Lampung Selatan,Lampung,PENDIDIK,47
Kab. Lampung Selatan,Lampung,PENDIDIK,32
Kab. Lampung Selatan,Lampung,PENDIDIK,17
Kab. Lampung Selatan,Lampung,PENDIDIK,151
Kab. Lampung Selatan,Lampung,PENDIDIK,98
Kab. Lampung Selatan,Lampung,PENDIDIK,235
Kab. Lampung Selatan,Lampung,PENDIDIK,9
Kab. Lampung Selatan,Lampung,PENDIDIK,32
Kab. Lampung Selatan,Lampung,PENDIDIK,65
Kab. Lampung Selatan,Lampung,PENDIDIK,42
Kab. Lampung Selatan,Lampung,PENYULUH AGAMA,0
Kab. Lampung Selatan,Lampung,PENYULUH AGAMA,2
Kab. Lampung Selatan,Lampung,PENYULUH AGAMA,4
Kab. Lampung Selatan,Lampung,PENYULUH AGAMA,2
Kab. Lampung Selatan,Lampung,PENYULUH AGAMA,0
