Batch,Provinsi,Kab/kota,Kategori,Divaksin 1
LANSIA,Lampung,Kota Metro,LANSIA,3
LANSIA,Lampung,Kab. Lampung Selatan,LANSIA,36
LANSIA,Lampung,Kab. Tanggamus,LANSIA,0
LANSIA,Lampung,Kab. Way Kanan,LANSIA,0
LANSIA,Lampung,Kota Bandar Lampung,LANSIA,31
LANSIA,Lampung,Kab. Lampung Selatan,LANSIA,1
LANSIA,Lampung,Kab. Lampung Tengah,LANSIA,0
LANSIA,Lampung,Kab. Lampung Timur,LANSIA,1
LANSIA,Lampung,Kab. Lampung Utara,LANSIA,1
LANSIA,Lampung,Kab. Tulang Bawang,LANSIA,0
LANSIA,Lampung,Kota Bandar Lampung,LANSIA,38
LANSIA,Lampung,Kab. Lampung Tengah,LANSIA,3
LANSIA,Lampung,Kab. Pesawaran,LANSIA,1
LANSIA,Lampung,Kota Bandar Lampung,LANSIA,104
LANSIA,Lampung,Kota Metro,LANSIA,3
LANSIA,Lampung,Kab. Lampung Tengah,LANSIA,0
LANSIA,Lampung,Kab. Lampung Selatan,LANSIA,6
LANSIA,Lampung,Kab. Lampung Timur,LANSIA,14
LANSIA,Lampung,Kab. Pesisir Barat,LANSIA,1
LANSIA,Lampung,Kab. Pringsewu,LANSIA,1
LANSIA,Lampung,Kab. Tanggamus,LANSIA,0
LANSIA,Lampung,Kab. Tulang Bawang,LANSIA,0
LANSIA,Lampung,Kab. Lampung Selatan,LANSIA,6
LANSIA,Lampung,Kab. Lampung Tengah,LANSIA,15
LANSIA,Lampung,Kab. Lampung Timur,LANSIA,9
LANSIA,Lampung,Kab. Lampung Utara,LANSIA,4
LANSIA,Lampung,Kab. Mesuji,LANSIA,1
LANSIA,Lampung,Kab. Pesawaran,LANSIA,3
LANSIA,Lampung,Kab. Pringsewu,LANSIA,65
LANSIA,Lampung,Kab. Tanggamus,LANSIA,0
LANSIA,Lampung,Kab. Tulang Bawang,LANSIA,1
LANSIA,Lampung,Kab. Lampung Selatan,LANSIA,2
LANSIA,Lampung,Kab. Lampung Tengah,LANSIA,8
