Batch,Provinsi,Kab/kota,Kategori,Prov,Divaksin 2
LANSIA,Lampung,Kab. Tulang Bawang,LANSIA,Lampung,2
LANSIA,Lampung,Kab. Tulang Bawang Barat,LANSIA,Lampung,2
LANSIA,Lampung,Kab. Lampung Selatan,LANSIA,Lampung,3
LANSIA,Lampung,Kab. Lampung Timur,LANSIA,Lampung,0
LANSIA,Lampung,Kab. Lampung Utara,LANSIA,Lampung,1
LANSIA,Lampung,Kab. Pesawaran,LANSIA,Lampung,1
LANSIA,Lampung,Kab. Pringsewu,LANSIA,Lampung,2
LANSIA,Lampung,Kab. Tanggamus,LANSIA,Lampung,1
LANSIA,Lampung,Kab. Tulang Bawang,LANSIA,Lampung,0
LANSIA,Lampung,Kab. Way Kanan,LANSIA,Lampung,2
LANSIA,Lampung,Kota Metro,LANSIA,Lampung,0
LANSIA,Lampung,Kab. Lampung Selatan,LANSIA,Lampung,1
LANSIA,Lampung,Kab. Lampung Tengah,LANSIA,Lampung,34
LANSIA,Lampung,Kab. Lampung Timur,LANSIA,Lampung,2
LANSIA,Lampung,Kab. Lampung Utara,LANSIA,Lampung,1
LANSIA,Lampung,Kab. Pringsewu,LANSIA,Lampung,0
LANSIA,Lampung,Kota Metro,LANSIA,Lampung,0
LANSIA,Lampung,Kab. Lampung Tengah,LANSIA,Lampung,13
LANSIA,Lampung,Kab. Pringsewu,LANSIA,Lampung,0
LANSIA,Lampung,Kab. Way Kanan,LANSIA,Lampung,0
LANSIA,Lampung,Kota Metro,LANSIA,Lampung,0
LANSIA,Lampung,Kab. Lampung Selatan,LANSIA,Lampung,0
LANSIA,Lampung,Kota Bandar Lampung,LANSIA,Lampung,24
LANSIA,Lampung,Kab. Lampung Timur,LANSIA,Lampung,2
LANSIA,Lampung,Kab. Pesawaran,LANSIA,Lampung,2
LANSIA,Lampung,Kab. Pringsewu,LANSIA,Lampung,2
LANSIA,Lampung,Kab. Mesuji,LANSIA,Lampung,0
LANSIA,Lampung,Kab. Pesisir Barat,LANSIA,Lampung,1
LANSIA,Lampung,Kab. Pringsewu,LANSIA,Lampung,1
LANSIA,Lampung,Kab. Tanggamus,LANSIA,Lampung,10
LANSIA,Lampung,Kab. Tulang Bawang,LANSIA,Lampung,0
LANSIA,Lampung,Kab. Tulang Bawang Barat,LANSIA,Lampung,0
LANSIA,Lampung,Kab. Way Kanan,LANSIA,Lampung,0
LANSIA,Lampung,Kota Bandar Lampung,LANSIA,Lampung,551
LANSIA,Lampung,Kota Metro,LANSIA,Lampung,0
LANSIA,Lampung,Kab. Lampung Tengah,LANSIA,Lampung,2
LANSIA,Lampung,Kab. Lampung Timur,LANSIA,Lampung,93
LANSIA,Lampung,Kab. Lampung Utara,LANSIA,Lampung,57
LANSIA,Lampung,Kab. Pesisir Barat,LANSIA,Lampung,18
LANSIA,Lampung,Kab. Pringsewu,LANSIA,Lampung,0
LANSIA,Lampung,Kab. Tulang Bawang Barat,LANSIA,Lampung,0
LANSIA,Lampung,Kab. Way Kanan,LANSIA,Lampung,0
LANSIA,Lampung,Kota Bandar Lampung,LANSIA,Lampung,293
LANSIA,Lampung,Kab. Lampung Barat,LANSIA,Lampung,0
LANSIA,Lampung,Kab. Lampung Selatan,LANSIA,Lampung,1
LANSIA,Lampung,Kab. Lampung Tengah,LANSIA,Lampung,74
LANSIA,Lampung,Kab. Lampung Timur,LANSIA,Lampung,85
LANSIA,Lampung,Kab. Lampung Utara,LANSIA,Lampung,154
LANSIA,Lampung,Kab. Mesuji,LANSIA,Lampung,1
LANSIA,Lampung,Kab. Pesawaran,LANSIA,Lampung,37
LANSIA,Lampung,Kab. Pringsewu,LANSIA,Lampung,0
LANSIA,Lampung,Kab. Tanggamus,LANSIA,Lampung,1
LANSIA,Lampung,Kab. Way Kanan,LANSIA,Lampung,0
LANSIA,Lampung,Kota Bandar Lampung,LANSIA,Lampung,553
LANSIA,Lampung,Kab. Tanggamus,LANSIA,Lampung,0
LANSIA,Lampung,Kab. Tulang Bawang,LANSIA,Lampung,2
LANSIA,Lampung,Kota Bandar Lampung,LANSIA,Lampung,1539
LANSIA,Lampung,Kota Metro,LANSIA,Lampung,2
LANSIA,Lampung,Kab. Lampung Barat,LANSIA,Lampung,6
